EM_QUAL_DEPARTAMENTO_DO_CEPEL_VOCE_ESTA_ALOCADO,HA_QUANTO_TEMPO_VOCE_JA_PROGRAMA_DESENVOLVE_SISTEMAS,RESPOSTA,TECNOLOGIA,TOTAL,CATEGORIA
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,SALT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,5-10 anos,Me interesso em usar,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Já usei,VAGRANT,2,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,NORNIR,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Me interesso em usar,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,CHEF,3,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,CROSSPLANE,3,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,NORNIR,2,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,OPENTOFU,2,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,OUTRO,3,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,PULUMI,2,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,PUPPET,3,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,SALT,3,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Não tenho opinião / Não sei,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
DT/DGA - Depto de Tecnologia em Gestão de Ativos,Mais de 10 anos,Uso atualmente,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Já usei,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,ANSIBLE,2,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,CHEF,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,CROSSPLANE,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,NORNIR,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,SALT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Me interesso em usar,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,CHEF,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,CROSSPLANE,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,NORNIR,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,OUTRO,2,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,SALT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Não tenho opinião / Não sei,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
DT/DID - Depto de IA e Dados,5-10 anos,Uso atualmente,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Já usei,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Já usei,CHEF,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Já usei,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Já usei,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Já usei,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Já usei,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Não tenho opinião / Não sei,CROSSPLANE,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Não tenho opinião / Não sei,NORNIR,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Não tenho opinião / Não sei,OUTRO,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Não tenho opinião / Não sei,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",1-2 anos,Não tenho opinião / Não sei,SALT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Já usei,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Já usei,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Me interesso em usar,ANSIBLE,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Me interesso em usar,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Me interesso em usar,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Me interesso em usar,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,CHEF,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,CROSSPLANE,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,NORNIR,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,OUTRO,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,PUPPET,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,SALT,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",3-5 anos,Não tenho opinião / Não sei,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,CHEF,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,CROSSPLANE,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,NORNIR,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,OPENTOFU,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,OUTRO,2,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,PULUMI,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,PUPPET,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,SALT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,TERRAFORM,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não preciso / Não se aplica,VAGRANT,1,INFRAESTRUTURA_COMO_CODIGO
"DT/DPC - Depto de Planejamento Energético, Comercialização de Energia e Regulação",5-10 anos,Não tenho opinião / Não sei,ANSIBLE,1,INFRAESTRUTURA_COMO_CODIGO
